name,location,cuisines,rate,approx_cost_for_two,online_order,book_table
Geist Brewing Factory - Restaurant & Beer Garden," Old Madras Road, Bangalore","American, Pizza, Italian, Pasta, Bakery",3.9,1200,1,0
Morsel Treats," Indiranagar, Bangalore",Italian,3.9,1050,1,0
Drunken Daddy," Koramangala 5th Block, Bangalore","North Indian, Continental, Fast Food, Oriental, South Indian, Beverages",3.9,600,1,0
"Delistic - Chocolaterie, Patisserie & Cafe"," St. Marks Road, Bangalore","Cafe, Desserts, Fast Food, Beverages",3.9,1400,1,0
Rumi," Indiranagar, Bangalore","Awadhi, Mughlai, North Indian, Kebab",3.95,900,1,0
Hopshaus," Whitefield, Bangalore","Continental, North Indian, Chinese, Beverages, Desserts",4.05,1500,1,0
Wabi Sabi - The Oberoi," The Oberoi, MG Road, Bangalore",Asian,3.9,4500,1,0
Lifetree," Richmond Road, Bangalore","North Indian, Continental, Beverages, Desserts",3.9,900,1,0
Lapis - The Oberoi," The Oberoi, MG Road, Bangalore","North Indian, South Indian, Mediterranean, European, American, Italian",3.9,3300,1,0
Rayan Kitchen," Bommanahalli, Bangalore","North Indian, Continental, Italian, Pizza, Burger, Sandwich, Beverages",4.05,500,1,0
Lemon Leaf," Whitefield, Bangalore","North Indian, Chinese, Mughlai, South Indian",4.0,700,1,0
The Tao Terraces," 1 MG Road Mall, MG Road, Bangalore","Japanese, Sushi, Thai, Korean, Chinese",3.6,2100,1,0
Kitchen 6," Yelahanka, Bangalore","North Indian, Mughlai, Chinese, South Indian, Lebanese, Biryani, Desserts, Beverages",3.6,700,1,0
Uncle Peter's Pancakes & Cafe," Domlur, Bangalore","Desserts, Tea, Beverages",3.9,300,1,0
Smoky - The Sheesha Lounge," Koramangala 5th Block, Bangalore",Cafe,3.9,500,1,0
Grand Desi Paratha," Rajarajeshwari Nagar, Bangalore","North Indian, Fast Food, Chinese, Desserts, Beverages",3.75,400,1,0
Namma  Adda - A Multicuisine Restaurant," HSR, Bangalore","North Indian, Chinese, Continental, South Indian, Beverages",3.9,700,1,0
Hosatodaku," Jayanagar, Bangalore","Andhra, Mangalorean, Biryani",3.9,600,1,0
Khamma Ghani Sa," Koramangala 5th Block, Bangalore","Rajasthani, North Indian",3.8,650,1,0
Ozaa - Mediterranean Grills," UB City, Bangalore",Mediterranean,3.9,2500,1,0
Tim Tim Kitchen," Rajarajeshwari Nagar, Bangalore","North Indian, Chinese, Biryani, Desserts",3.9,450,1,0
Chin Lung Resto Bar," Residency Road, Bangalore","North Indian, Chinese, Fast Food, Continental, Beverages",3.9,1000,1,0
Have More," Kammanahalli, Bangalore","North Indian, Chinese, Beverages",3.9,700,1,0
Have More," Kammanahalli, Bangalore","North Indian, Chinese, Beverages",3.9,700,1,0
Chaiffee Cafe ," JP Nagar, Bangalore","Tea, Fast Food, Beverages, Street Food, Desserts",3.95,200,1,0
Chickstar," Frazer Town, Bangalore","Burger, Fast Food, American",3.75,400,1,0
Vayam Veg Fine Dine," Vijay Nagar, Bangalore","South Indian, North Indian, Fast Food, Chinese, Street Food, Desserts, Beverages",3.9,700,1,0
Trippy Goat Cafe," Cunningham Road, Bangalore","Cafe, Continental, Fast Food, Beverages",3.9,1500,1,0
Chai Nagri," Koramangala 1st Block, Bangalore","Cafe, Fast Food, Burger, Beverages, Street Food",3.9,400,1,0
Belly Cravings," BTM, Bangalore","Fast Food, Beverages",4.0,250,1,0
Baf's Cafe," Basaveshwara Nagar, Bangalore","Chinese, North Indian, Fast Food, Momos, Desserts, Juices, Beverages",3.9,500,1,0
Cafe Rustico," Brigade Road, Bangalore","Chinese, Fast Food, Continental, Beverages",3.9,1100,1,0
Esperance," Jayanagar, Bangalore","Desserts, Pizza, Continental, Beverages",3.9,700,1,0
SGS Non Veg Gundu Pulav," KR Puram, Bangalore",South Indian,3.85,200,1,0
Gramin Litti Adda | GLA," Varthur Main Road, Whitefield, Bangalore","Bihari, North Indian, Desserts, Beverages",3.65,550,1,0
Eastern Delights," Marathahalli, Bangalore","South Indian, North Indian, Bengali, Chinese, Rolls",3.35,450,1,0
New Prashanth Hotel," Banashankari, Bangalore",Andhra,3.95,450,1,0
Coastal Machali Co.," Residency Road, Bangalore","Asian, Mangalorean, Seafood, South Indian, North Indian, Beverages",3.9,1100,1,0
Malgudi's Donne Biriyani," Rajajinagar, Bangalore","Biryani, North Indian",4.0,350,1,0
Chikpet Donne Biryani House," Yelahanka, Bangalore","Biryani, South Indian",3.9,250,1,0
Provenance," Lavelle Road, Bangalore","Cafe, Bakery, Desserts, Beverages",3.9,500,1,0
Le Republique," Nagarbhavi, Bangalore","North Indian, Chinese, Continental, Fast Food, Bar Food, Beverages",3.9,1600,1,0
Kapoor's Chaat Bhandaar," Brookefield, Bangalore","Street Food, North Indian, Desserts",3.9,250,1,0
Arabian Hot Spot," Kalyan Nagar, Bangalore","Arabian, Mughlai, North Indian",3.85,1200,1,0
Iris Cafe," HSR, Bangalore","Fast Food, Irish, Italian, Beverages, Desserts",3.9,800,1,0
Ledikeni Sweets & Savouries," Marathahalli, Bangalore","Mithai, Desserts, Street Food",3.9,200,1,0
Karachi Bakery," Indiranagar, Bangalore","Bakery, Fast Food, Beverages, Desserts, Pasta",4.1,600,1,0
Big Bang Pizza," Frazer Town, Bangalore","Pizza, Fast Food, Beverages",3.9,700,1,0
Rolling Dough Cafe," Ulsoor, Bangalore","Continental, Seafood, Salad, Desserts, Beverages, Pasta, Pizza",3.9,850,1,0
Toping Twist," HSR, Bangalore",Momos,4.25,200,1,0
Soul City," Oakwood Premier Prestige, Bangalore","Italian, Chinese, Continental, North Indian, Seafood, Thai",3.9,2000,1,0
Aramane Donne Biriyani," BTM, Bangalore","Biryani, Fast Food",3.8,300,1,0
Legends Cafe," Vijay Nagar, Bangalore","Fast Food, Beverages, Desserts",3.9,500,1,0
D Kitchen 54," Rajarajeshwari Nagar, Bangalore","North Indian, Chinese, Italian, Fast Food, Mughlai, Seafood, Biryani, Beverages",3.6,800,1,0
Flavours Hut," HSR, Bangalore","Kerala, North Indian, Chinese, Seafood, Biryani",3.9,550,1,0
Roof Tap," Banashankari, Bangalore","Chinese, North Indian, Bar Food, Beverages, Fast Food",3.9,1000,1,0
Kunafa World," Frazer Town, Bangalore",Desserts,4.1,400,1,0
Earthen Delicacies," Jakkur, Bangalore","North Indian, Mughlai, Chinese, Biryani, Fast Food, Beverages",4.05,700,1,0
S G Rao’s Military Hotel," Majestic, Bangalore","South Indian, Biryani",3.95,400,1,0
Wah Parantha," Bellandur, Bangalore","North Indian, Street Food, Beverages",3.9,450,1,0
Saha Chowmein," Sahakara Nagar, Bangalore","North Indian, Chinese",4.0,700,1,0
Board 4 Bored," Basavanagudi, Bangalore","Pizza, Fast Food, Beverages, Chinese, Pasta",3.9,800,1,0
Chaat Junction," Bannerghatta Road, Bangalore","Street Food, North Indian, Fast Food",3.75,300,1,0
Sicilia Point," Rajajinagar, Bangalore","Fast Food, Desserts, Beverages",3.9,450,1,0
Cold Monk," Brookefield, Bangalore","Desserts, Beverages, Ice Cream, Fast Food",3.9,400,1,0
Whhite Paani Food Chain," BTM, Bangalore",Street Food,3.9,100,1,0
Two Friends Cauldron," JP Nagar, Bangalore","Continental, Italian, American",4.0,700,1,0
Urban Food Culture," Koramangala 1st Block, Bangalore","North Indian, Chinese, Biryani, Bengali, Rolls, Pasta",3.7,300,1,0
Kartik's Mithai Shoppe," Indiranagar, Bangalore","Street Food, North Indian, Mithai",4.1,200,1,0
Smart Mudde Spicy Fish," Rajarajeshwari Nagar, Bangalore","South Indian, Kerala, Chinese",3.7,400,1,0
Smart Mudde Spicy Fish," Rajarajeshwari Nagar, Bangalore","South Indian, Kerala, Chinese",3.7,400,1,0
Fat Unicorn," New BEL Road, Bangalore","Desserts, Ice Cream",3.9,300,1,0
Gosssip Pub & Grub," Banashankari, Bangalore","North Indian, Fast Food, Seafood, Bar Food",3.9,1500,1,0
Antra Veg Restaurant," Banashankari, Bangalore","North Indian, Chinese, Beverages, Desserts",3.9,800,1,0
Abhiruchi Hotel," BTM, Bangalore","North Indian, Seafood, Biryani, Chinese",3.75,600,1,0
Mysuru Coffee Thindi," Jayanagar, Bangalore",South Indian,3.95,200,1,0
Tea Positive," Marathahalli, Bangalore","Street Food, Fast Food, Tea, Beverages",3.95,400,1,0
Monsoon - The Park Bangalore," The Park, MG Road, Bangalore","Italian, North Indian",3.65,3000,1,0
Mayura Restaurant," Peenya, Bangalore","Andhra, Chinese, North Indian",4.15,700,1,0
24/7 - The Lalit Ashok Bangalore," The Lalit Ashok Bangalore, Seshadripuram, Bangalore","Continental, North Indian, Italian, South Indian",3.5,3000,1,0
Chaayos - Meri Wali Chai," Indiranagar, Bangalore","Tea, Street Food, Fast Food, Beverages, Desserts",4.0,400,1,0
Lassi & Snacks Joint," Domlur, Bangalore","Beverages, Fast Food, Sandwich, Desserts, Burger, Rolls",3.9,300,1,0
Malgudi Mylari Mane ," Yeshwantpur, Bangalore","Biryani, South Indian",3.9,400,1,0
KC Das," St. Marks Road, Bangalore","Mithai, Street Food",4.15,300,1,0
My Tea House," Banashankari, Bangalore","Continental, Asian, Fast Food",3.9,800,1,0
Midnight Mania," Koramangala 6th Block, Bangalore","Pizza, Italian",4.0,700,1,0
Cream N Cha," Indiranagar, Bangalore","Beverages, Desserts, Fast Food",3.9,400,1,0
Via Roma," Brookefield, Bangalore",Italian,3.9,1100,1,0
Desi Biryani," Jayanagar, Bangalore","Biryani, South Indian, Mangalorean, Beverages",4.0,450,1,0
Tandoor," MG Road, Bangalore","North Indian, Mughlai",3.8,2000,1,0
Flavour Of Shanghai," Kanakapura Road, Bangalore","Chinese, North Indian, Seafood, Fast Food",3.95,450,1,0
Bangalore Bites," Rajarajeshwari Nagar, Bangalore","Fast Food, Beverages, Chinese",3.9,300,1,0
Naidu's Sakath Utta," Rajajinagar, Bangalore","Chinese, South Indian",3.9,500,1,0
Gelatissimo," Kalyan Nagar, Bangalore","Ice Cream, Desserts, Beverages",3.9,500,1,0
Club Kachori," Sarjapur Road, Bangalore","Street Food, Fast Food",3.9,200,1,0
Brown Burger Co.," Koramangala 6th Block, Bangalore","Burger, Fast Food, Beverages",3.9,450,1,0
Skylit - Citrus Hotels," Citrus Hotels, Cunningham Road, Bangalore","North Indian, Mughlai, Mediterranean",3.9,1500,1,0
Bond RestoBar," New BEL Road, Bangalore","Continental, Italian, North Indian, Beverages",3.9,1500,1,0
Gowdru Hotel," Indiranagar, Bangalore","South Indian, Biryani",3.85,350,1,0
Today Coffee," Electronic City, Bangalore","South Indian, Desserts, Beverages",4.05,100,1,0
Rock Stone Ice Cream Factory," BTM, Bangalore",Ice Cream,3.95,250,1,0
Kolkataz," CV Raman Nagar, Bangalore","Bengali, North Indian, Chinese, Rolls",3.9,300,1,0
Karma Foods," Brookefield, Bangalore",North Indian,3.9,100,1,0
Kabab Mehal," JP Nagar, Bangalore","North Indian, Chinese, Mughlai",4.05,400,1,0
Inchara," JP Nagar, Bangalore","North Indian, Continental, Chinese, Mughlai, Desserts, Beverages",3.9,800,1,0
Dande's Hyderabad Biryani," Electronic City, Bangalore","Andhra, North Indian, Chinese",3.95,650,1,0
Meghana Biriyanis," Nagawara, Bangalore","Andhra, Biryani, Chinese",3.85,500,1,0
Venu's Donne Biriyani," BTM, Bangalore","Biryani, Fast Food",4.15,300,1,0
RK Fresh Food," BTM, Bangalore","North Indian, Fast Food, Street Food",3.8,300,1,0
Desi Sheikh Cafe & Bistro," Kammanahalli, Bangalore","Arabian, Beverages, Fast Food",3.9,600,1,0
Juice Hive," Bannerghatta Road, Bangalore","Fast Food, Ice Cream, Beverages, Juices",3.8,200,1,0
The Urban Turban," Sarjapur Road, Bangalore","North Indian, Mughlai, Chinese",3.9,700,1,0
Tunday Kababi," Koramangala 5th Block, Bangalore","Awadhi, Kebab",3.95,450,1,0
Pappa Roti," Phoenix Marketcity Bangalore, Whitefield, Bangalore","Cafe, Beverages, Desserts, Italian, Pizza, Fast Food",3.75,800,1,0
JukeBox," Koramangala 7th Block, Bangalore","Continental, Parsi, Chinese, North Indian, Italian, Steak",3.9,1000,1,0
UTHRA," Indiranagar, Bangalore",North Indian,3.9,800,1,0
Taawoon Restaurant," Hennur, Bangalore","South Indian, North Indian, Continental, Chinese, Seafood, Mughlai, Desserts, Beverages",3.9,750,1,0
Soi & Sake - Taj Bangalore,"  Taj Bangalore, International Airport, Bangalore","Chinese, Japanese",3.9,3000,1,0
Nani's Hyderabad Dum Biryani," Rajajinagar, Bangalore","Biryani, Hyderabadi",4.15,250,1,0
Vijayalakshmi," Basavanagudi, Bangalore","South Indian, Chinese, North Indian",3.9,400,1,0
Kabab Manor," RT Nagar, Bangalore","North Indian, Kebab, Hyderabadi, Chinese",3.9,400,1,0
Nandishwara Mudde Oota," KR Puram, Bangalore",South Indian,3.95,250,1,0
Eat First," Jayanagar, Bangalore","Fast Food, Chinese",3.9,200,1,0
Bramhin Tiffins," JP Nagar, Bangalore",South Indian,3.9,100,1,0
Village - The Soul of India," Mantri Square, Malleshwaram, Bangalore","North Indian, South Indian",3.9,1000,1,0
Pot Biryani," Domlur, Bangalore","Biryani, North Indian, Chinese, Seafood",3.7,900,1,0
Nizam's Biryani House," Marathahalli, Bangalore","Andhra, Biryani, Chinese, North Indian, Beverages",3.8,700,1,0
Sarang Multicuisine Fine Dine," Vijay Nagar, Bangalore","North Indian, Chinese, Continental, Mangalorean, Mughlai, Desserts, Beverages, Ice Cream",3.9,800,1,0
The Rich Crust," Sahakara Nagar, Bangalore","Cafe, European, Continental",3.85,600,1,0
Fume Cafe," Nagarbhavi, Bangalore","Fast Food, Chinese, Burger, Pizza",3.9,400,1,0
Marcopolo," Koramangala 5th Block, Bangalore","Asian, Continental, North Indian, Juices, Beverages",3.9,800,1,0
Savi Sagar," Malleshwaram, Bangalore","North Indian, South Indian, Chinese, Sandwich, Street Food, Ice Cream, Juices, Beverages",3.85,500,1,0
Malabar Food Court," HBR Layout, Bangalore","Kerala, Chinese, Biryani, Seafood, Street Food, Beverages",4.0,500,1,0
PORKEATS," Koramangala 6th Block, Bangalore","Goan, Mangalorean",4.05,400,1,0
Desi Chats," Whitefield, Bangalore","Street Food, North Indian",3.75,150,1,0
Paanoor Restaurant & Cafe," Hennur, Bangalore","Biryani, South Indian",3.8,350,1,0
Sangria Wine Lounge," New BEL Road, Bangalore","Continental, Chinese",3.9,1000,1,0
Hyderabadi Handi Biryani," Whitefield, Bangalore","Andhra, Biryani, Chinese, North Indian",3.75,500,1,0
The Vembanad," Kaggadasapura, Bangalore","Kerala, Seafood, South Indian, Chinese",3.85,600,1,0
Melting Pot at Woodrose," JP Nagar, Bangalore",North Indian,3.9,800,1,0
Kamat Bugle Rock," Basavanagudi, Bangalore","South Indian, Fast Food, Chinese, Beverages",4.05,300,1,0
Punjab Junction," Kaggadasapura, Bangalore","North Indian, Chinese, Mughlai",3.8,450,1,0
Punjab Junction," Kaggadasapura, Bangalore","North Indian, Chinese, Mughlai",3.8,450,1,0
La Heaven," Malleshwaram, Bangalore","Bakery, Desserts",4.1,300,1,0
Carlos Cake Cafe," Bellandur, Bangalore","Bakery, Desserts",3.95,300,1,0
The Salt Grill - Hilton Bangalore Embassy Golflinks," Hilton Bangalore Embassy GolfLinks, Domlur, Bangalore","European, Mediterranean, Salad",3.9,3000,1,0
Tomba Kitchens," Ejipura, Bangalore","Chinese, South Indian, Mangalorean",4.1,300,1,0
Komala Refreshments," Frazer Town, Bangalore",South Indian,3.9,150,1,0
The Grill Shack," Electronic City, Bangalore","South Indian, North Indian, Beverages, Mughlai, Lebanese",3.9,200,1,0
Unicorn Bar & Restaurant," Infantry Road, Bangalore","Seafood, North Indian, Chinese",3.9,800,1,0
Hotel MLV Grand - A Multicuisine Restaurant," Jalahalli, Bangalore","North Indian, Chinese, Kebab, South Indian",4.0,400,1,0
Ambur Star Briyani Since 1890," BTM, Bangalore","Biryani, Chettinad, Chinese",4.05,450,1,0
Cafe 99 Kerala Mess," Kalyan Nagar, Bangalore","Kerala, Biryani, Seafood, North Indian",3.7,500,1,0
New Paratha Corner," Whitefield, Bangalore","North Indian, Chinese",3.95,350,1,0
Shandong," Hennur, Bangalore","Chinese, Momos, Seafood, Beverages",3.9,500,1,0
Indian Durbar - Conrad Bengaluru," Conrad Bengaluru, Ulsoor, Bangalore","North Indian, Desserts, Kebab, Mughlai",3.9,3000,1,0
Ishta Cafe - Millet Pizzas," Bannerghatta Road, Bangalore","Pizza, Beverages",3.9,600,1,0
The Platonic Cafe," Electronic City, Bangalore","Cafe, Pizza, Burger, Beverages, Pasta",3.95,500,1,0
Baohood," Hebbal, Bangalore","Asian, Chinese, Beverages, Tea",4.05,500,1,0
TFL's Kitchen," Bannerghatta Road, Bangalore","North Indian, Chinese, Fast Food, Beverages",3.9,600,1,0
Sarovaraa- The Desi Kitchen," New BEL Road, Bangalore","Street Food, North Indian",4.0,350,1,0
555 Darjeeling Unique," Bannerghatta Road, Bangalore","Asian, Chinese",4.1,300,1,0
Halwai Junction," Yelahanka, Bangalore","North Indian, Street Food",3.85,300,1,0
Umesh Donne Biryani Point," Sahakara Nagar, Bangalore","Biryani, South Indian",3.9,300,1,0
Cafe Sandarshini," Shanti Nagar, Bangalore","South Indian, Chinese",3.9,200,1,0
Cafe Cosy," Jayanagar, Bangalore","Cafe, Chinese, Continental, Fast Food, Italian, Desserts",3.9,400,1,0
Cafe Cosy," Jayanagar, Bangalore","Cafe, Chinese, Continental, Fast Food, Italian, Desserts",3.9,400,1,0
Delhi Walle," Marathahalli, Bangalore","North Indian, Street Food, Chinese, Desserts, Beverages",3.95,400,1,0
Cream & Fudge," JP Nagar, Bangalore","Ice Cream, Desserts, Beverages",3.7,300,1,0
Le Roll Cafe," Kammanahalli, Bangalore","Fast Food, Beverages, Rolls",3.85,300,1,0
Sri Sai Durga Coffee Point," Nagarbhavi, Bangalore","South Indian, Chinese, Biryani, North Indian",3.95,350,1,0
Juice Day," Kalyan Nagar, Bangalore","Beverages, Juices, Fast Food",4.05,150,1,0
Truly North Indian," Bellandur, Bangalore",North Indian,3.9,250,1,0
Puff & Curries," Varthur Main Road, Whitefield, Bangalore","North Indian, Fast Food",3.9,300,1,0
Istoria: The Home Cafe," Richmond Town, Bangalore","Continental, Italian, Fast Food, Beverages",3.9,700,1,0
The Chill Out Cafe ," Hennur, Bangalore","Rolls, Fast Food, Beverages",3.45,200,1,0
Rolls Raaja," Rajajinagar, Bangalore","Rolls, Lebanese, Fast Food",3.9,400,1,0
Donne Biriyani Grand," JP Nagar, Bangalore","Biryani, Fast Food",3.95,300,1,0
Hotel Karavali Fish Palace," Rajajinagar, Bangalore","Seafood, South Indian, Chinese, Bengali",3.95,400,1,0
Shine Restaurant," Bommanahalli, Bangalore","South Indian, Chinese",3.75,350,1,0
Hotel Sri Ayodhya," Basaveshwara Nagar, Bangalore","Chinese, North Indian",4.0,300,1,0
Padhaaro Saa," Banaswadi, Bangalore","North Indian, Fast Food",3.9,350,1,0
Zaha," Nagawara, Bangalore","Biryani, Chinese, North Indian",3.8,500,1,0
Flying Kombucha," Jeevan Bhima Nagar, Bangalore",Beverages,3.9,300,1,0
Biswal's Food Circle," Banaswadi, Bangalore","Chinese, North Indian, Andhra, Biryani, Odia, Fast Food, Beverages",3.9,400,1,0
Cake My Heart," Indiranagar, Bangalore","Desserts, Bakery",3.9,350,1,0
Jibhe Jol," Electronic City, Bangalore","Bengali, Seafood, Rolls",3.9,500,1,0
Thanco's Natural Ice Cream," Banaswadi, Bangalore","Desserts, Ice Cream, Beverages",3.75,300,1,0
Dunkin' Donuts," Brookefields Mall, Brookefield, Bangalore","Desserts, Burger, Beverages, Fast Food",4.05,550,1,0
Matru Sagar," Kalyan Nagar, Bangalore","South Indian, North Indian, Chinese",4.0,350,1,0
Lassi Shop - Downtown," Frazer Town, Bangalore","Beverages, Juices, Ice Cream, Desserts",3.9,300,1,0
Zaks Mediterranean Cuisine," Frazer Town, Bangalore","Mediterranean, Arabian, Lebanese",4.05,700,1,0
New Samrat Restaurant," Seshadripuram, Bangalore","North Indian, South Indian, Chinese, Fast Food, Street Food, Beverages, Ice Cream, Desserts",3.9,450,1,0
Pot-O-Noodles," Indiranagar, Bangalore","Chinese, Asian, Japanese, Fast Food",4.0,800,1,0
Raidan Restaurant," Frazer Town, Bangalore","Arabian, Chinese, Fast Food, North Indian, South Indian, Beverages",3.9,800,1,0
Bar UNO - JW Marriott Bengaluru," JW Marriott Bengaluru, Lavelle Road, Bangalore","Japanese, Seafood",3.9,2500,1,0
Azure - Taj Yeshwantpur," Taj Yeshwantpur, Bangalore","Lebanese, Mediterranean, Italian",3.9,2500,1,0
Udupi Upachar," Brookefield, Bangalore","South Indian, North Indian, Beverages, Chinese, Street Food",3.95,350,1,0
Karnataka Bhel House," Banashankari, Bangalore",Street Food,3.9,150,1,0
Haphoggers Restaurant," Electronic City, Bangalore",North Indian,3.9,400,1,0
Shahi Family Restaurant," Ulsoor, Bangalore","North Indian, Chinese, South Indian",3.7,350,1,0
Udupi Grand," Yelahanka, Bangalore","North Indian, South Indian, Chinese",3.9,300,1,0
Tea Trails," Brigade Road, Bangalore","Cafe, Tea, North Indian, Fast Food, Street Food, Desserts, Beverages",3.9,700,1,0
Namma Prashanth Hotel," Kanakapura Road, Bangalore","Mughlai, South Indian",3.65,400,1,0
The Vape," HSR, Bangalore","Asian, Beverages",3.7,800,1,0
Elite Kerala Mess," Bannerghatta Road, Bangalore","Kerala, South Indian, Biryani, Street Food",3.95,300,1,0
Sugar & Spice - Taj MG Road Bengaluru," Taj, MG Road, Bangalore",Desserts,3.9,800,1,0
Kundana," Bannerghatta Road, Bangalore","Andhra, Mughlai, North Indian, Chinese, Seafood, Desserts, Beverages",3.75,800,1,0
Urban Solace," Ulsoor, Bangalore","Cafe, American, Continental, Steak",3.6,800,1,0
Akss - India Reimagined," Indiranagar, Bangalore","Modern Indian, North Indian",3.9,1600,1,0
Udupi Ruchi Grand," Banashankari, Bangalore","South Indian, North Indian, Chinese, Beverages, Street Food",3.95,500,1,0
Happy Platter," Rajajinagar, Bangalore","Chinese, Italian, Momos",4.0,350,1,0
Mighty Paws," Sarjapur Road, Bangalore",Cafe,3.75,500,1,0
Ainmane Cafe and Speciality Store," Indiranagar, Bangalore","Cafe, Desserts",3.9,600,1,0
Al Amal Cafe," Kammanahalli, Bangalore","Fast Food, Rolls, Beverages",3.9,300,1,0
Rashtrakutas," HSR, Bangalore","Chettinad, North Indian",3.95,600,1,0
Fandom at Gilly's Redefined," Gilly's Redefined, Koramangala 4th Block, Bangalore",Bar Food,3.9,1600,1,0
Litti House," Brookefield, Bangalore","North Indian, Bihari, Mughlai",4.0,400,1,0
Karachi Bakery," New BEL Road, Bangalore","Bakery, Fast Food, Desserts, North Indian",4.1,400,1,0
Swathi Restaurant," JP Nagar, Bangalore","Mangalorean, North Indian, Chinese",3.9,350,1,0
Little White Kitchen," Brigade Road, Bangalore","Fast Food, Chinese, Continental, American, Beverages",4.1,400,1,0
Kabab Factory," Nagarbhavi, Bangalore","Biryani, Kebab, Chinese, North Indian, South Indian",4.05,700,1,0
Sri Lakshmi Vaibhav," Whitefield, Bangalore","South Indian, North Indian, Desserts, Beverages, Chinese",4.0,600,1,0
Scottish Pub," St. Marks Road, Bangalore",Finger Food,3.9,600,1,0
Eden Huts Restaurant," Bellandur, Bangalore","North Indian, Mughlai, Chinese",3.95,650,1,0
Spice Code," JP Nagar, Bangalore","North Indian, Asian, Seafood",3.9,1000,1,0
Spice Code," JP Nagar, Bangalore","North Indian, Asian, Seafood",3.9,1000,1,0
The T Cafe," Indiranagar, Bangalore","Street Food, Fast Food, Tea",3.9,400,1,0
The Nest - The Den Bengaluru," The Den, Whitefield, Bangalore","Finger Food, North Indian, Continental",3.9,1500,1,0
Pappu Chaiwalla," HSR, Bangalore","Fast Food, North Indian, Chinese, Street Food, Beverages",3.5,450,1,0
Roy Hotel & Restaurant," Yeshwantpur, Bangalore","Bengali, North Indian",3.9,300,1,0
Tharavadu," HSR, Bangalore","Chinese, North Indian, Kerala",3.8,500,1,0
Sultan Rolls & Sandwiches," New BEL Road, Bangalore","Fast Food, Rolls, Chinese",3.8,300,1,0
Kairali," BTM, Bangalore","South Indian, Seafood, Biryani",3.85,300,1,0
Sri Krishna Upahara," Yelahanka, Bangalore","North Indian, South Indian, Chinese",4.0,250,1,0
Cake Genie," Indiranagar, Bangalore","Desserts, Fast Food",3.9,300,1,0
East- The Oterra," The Oterra, Hosur Road, Bangalore","Chinese, Vietnamese, Thai, Malaysian",3.9,3500,1,0
Hotel Mangala," Banashankari, Bangalore",South Indian,3.9,250,1,0
Sri Vishnu Park," BTM, Bangalore","South Indian, North Indian, Chinese, Biryani",3.95,700,1,0
Mint Magic Cafe," Vijay Nagar, Bangalore","Fast Food, Chinese, Steak, Pasta, Beverages, Desserts",3.85,500,1,0
Django," Indiranagar, Bangalore","Cafe, American, Pizza",3.9,800,1,0
Amontron," BTM, Bangalore",Bengali,3.85,600,1,0
Hungry Bird," BTM, Bangalore","Biryani, North Indian, Chinese, Rolls, Fast Food",3.95,400,1,0
Sagar Fast Food," Koramangala 8th Block, Bangalore","South Indian, North Indian, Street Food, Chinese, Beverages",4.05,300,1,0
Hongkong Noodles," Rammurthy Nagar, Bangalore","Chinese, Thai, Seafood, Momos",3.95,750,1,0
Rajpurohit Sweets," Banaswadi, Bangalore","Mithai, Street Food",3.95,100,1,0
The Chennai Express," Indiranagar, Bangalore","South Indian, Chinese, North Indian",3.65,250,1,0
Nandi Chats," BTM, Bangalore",Street Food,4.05,100,1,0
Sweet Moments," Kammanahalli, Bangalore","Mithai, Street Food, Beverages, Ice Cream",4.1,250,1,0
Sharma's Punjabi Restaurant," Koramangala 1st Block, Bangalore","North Indian, Chinese, Kebab",3.95,500,1,0
Coconut Grove," Church Street, Bangalore","South Indian, Chettinad, Kerala, Seafood",3.45,1200,1,0
Fill N Chill Resto Bar & Pub," Koramangala 4th Block, Bangalore","Finger Food, North Indian, Chinese",3.9,1300,1,0
Malgudi," Marathahalli, Bangalore","South Indian, Kerala, Andhra",4.0,700,1,0
The Secret Chapter," Basaveshwara Nagar, Bangalore","North Indian, Continental, Chinese, Fast Food",3.9,800,1,0
A.S Donne Biryani," Peenya, Bangalore","Biryani, South Indian",3.85,400,1,0
Parathe Wali Gali," Wilson Garden, Bangalore",North Indian,4.0,250,1,0
Yak's Kitchen," Brigade Road, Bangalore","Chinese, Tibetan, Momos",3.9,400,1,0
Reddy Home Mess," Yelahanka, Bangalore","Andhra, Biryani, North Indian",3.95,350,1,0
The Salad Studio," Koramangala 5th Block, Bangalore","Salad, Healthy Food, Beverages, Sandwich",4.1,400,1,0
Charminar Kabab Paradise," Frazer Town, Bangalore","North Indian, Chinese, Rolls",3.65,350,1,0
Golden China," Koramangala 1st Block, Bangalore",Chinese,4.0,300,1,0
Golden China," Koramangala 1st Block, Bangalore",Chinese,4.0,300,1,0
Devanna Dum Biryani Corner," Banashankari, Bangalore","South Indian, Biryani",4.0,350,1,0
Haveli Hyderabadi Dum Biryani," Whitefield, Bangalore","North Indian, Biryani, Chinese",4.05,300,1,0
Bramhi Aahar," Rajarajeshwari Nagar, Bangalore","South Indian, Chinese, North Indian, Biryani",4.0,400,1,0
Nisarga Garden," Cunningham Road, Bangalore","South Indian, North Indian, Chinese, Street Food, Juices",3.9,300,1,0
Chatore Junction," Koramangala 6th Block, Bangalore","North Indian, Mughlai",3.9,500,1,0
Delice - Novotel," Novotel Bengaluru, Marathahalli, Bangalore","Desserts, Fast Food, Italian, Continental, North Indian",3.9,400,1,0
