name,location,cuisines,rate,approx_cost_for_two,online_order,book_table
Nasi And Mee," Koramangala 4th Block, Bangalore","Asian, Indonesian, Japanese, Sushi, Thai",4.5,800,1,0
The Terrace at Gilly's Redefined," Gilly's Redefined, Koramangala 4th Block, Bangalore","Continental, Finger Food, Chinese, North Indian, Italian, Beverages",4.6,1700,1,0
Art of Delight," Residency Road, Bangalore","Ice Cream, Desserts, Beverages",4.4,300,1,0
Oota Bangalore," Windmills Craftworks, Bangalore","Mangalorean, South Indian",4.35,1000,1,0
Hari Super Sandwich," Jayanagar, Bangalore","Fast Food, Sandwich",4.25,250,1,0
The Bier Library," Koramangala 6th Block, Bangalore","Continental, North Indian, Pizza, BBQ",4.3,2000,1,0
Toit," Indiranagar, Bangalore","Italian, American, Modern Indian",4.4,2000,1,0
1131 Bar + Kitchen," Indiranagar, Bangalore","Continental, Mughlai, North Indian, Beverages, Chinese, Thai, Desserts",4.4,1500,1,0
The Pump House," JP Nagar, Bangalore","Continental, Finger Food, North Indian, Italian, Asian, Desserts",4.2,1600,1,0
Red Rhino," Whitefield, Bangalore","Pizza, Burger, Biryani, Chinese, Desserts, Healthy Food, North Indian, Pasta",4.25,1800,1,0
Nagarjuna," Residency Road, Bangalore","Andhra, Biryani",4.5,800,1,0
The Reservoire," Koramangala 5th Block, Bangalore","Continental, North Indian, American, Asian, Chinese, Pizza, Desserts, Beverages",3.95,1400,1,0
Vidyarthi Bhavan," Basavanagudi, Bangalore",South Indian,4.5,150,1,0
House Of Commons," JP Nagar, Bangalore","Bar Food, North Indian, Continental, Italian, Chinese",4.25,1400,1,0
Koramangala Social," Koramangala 7th Block, Bangalore","North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages",4.3,1500,1,0
Hammered," New BEL Road, Bangalore","North Indian, Chinese, Fast Food, Desserts, Beverages",4.2,1400,1,0
46 Ounces Brewgarden," Electronic City, Bangalore","Chinese, North Indian, Italian, Beverages, Bengali, Desserts",4.1,1600,1,0
Levitate Brewery And Kitchen," JP Nagar, Bangalore","Finger Food, North Indian, Continental",4.5,2300,1,0
The Big Barbeque," Marathahalli, Bangalore","North Indian, Continental, Chinese, Pizza, Beverages, Desserts",4.2,1500,1,0
Dyu Art Cafe," Koramangala 8th Block, Bangalore","Cafe, Continental, Beverages",4.4,600,1,0
Tipsy Bull - The Bar Exchange," JP Nagar, Bangalore","Finger Food, North Indian, Continental, Fast Food, Naga",4.2,1200,1,0
Vapour Brewpub and Diner," Sarjapur Road, Bangalore","North Indian, Continental, Italian",3.95,1400,1,0
Brewklyn Microbrewery," Kalyan Nagar, Bangalore","Continental, Italian, North Indian",4.2,1800,1,0
Basil Bistro," HSR, Bangalore","Continental, Italian, North Indian, Chinese",4.05,1000,1,0
The Bangalore Cafe," Shanti Nagar, Bangalore","Modern Indian, North Indian, Pizza, Continental, Beverages, Desserts",4.25,800,1,0
Shiro," UB City, Bangalore","Japanese, Asian, Thai",4.45,3000,1,0
Just BLR," Brigade Road, Bangalore","Continental, North Indian, Italian, Beverages",3.95,1900,1,0
Sattvam," Sadashiv Nagar, Bangalore","North Indian, South Indian",4.3,1500,1,0
Karavalli - The Gateway Hotel," The Gateway Hotel, Residency Road, Bangalore","Mangalorean, Konkan, Seafood, Kerala",4.5,3500,1,0
